time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00016487779068814534,0.007177080877961606
0.01,2,0.00017735601532451543,0.007724490884590172
0.01,3,0.00022193133032843586,0.009672242008194016
0.01,4,0.00033407698788339075,0.014572182376134222
0.01,5,0.0005794150214520786,0.025304344274891664
0.01,6,0.0007077192312669351,0.030962464341503577
0.01,7,0.0007663257429138575,0.03358773036118599
0.01,8,0.00035519761140492123,0.015588983576634156
0.01,9,0.00026878161343047823,0.011799884657909257
0.01,10,0.00024706534159674485,0.010848166232236217
0.01,11,0.0002451567702983831,0.010766956059079914
0.01,12,0.00026753556325155104,0.011754220606390187
0.01,13,0.0002992744809981833,0.013155779129706857
0.01,14,0.0003119244902023912,0.013721233371471134
0.01,15,0.00028858115635622603,0.012703547089903618
0.01,16,0.00015405616236815477,0.006785738202689999
0.01,17,7.362191207766867e-05,0.003244013449005625
0.01,18,6.284773903859878e-05,0.0027698897325531243
0.01,19,5.6539226611942145e-05,0.0024923529408040447
0.01,20,5.1720863055195506e-05,0.0022804055691937014
0.01,21,4.758848622369194e-05,0.002098621495629004
0.01,22,4.351359033567236e-05,0.0019192902211716484
0.01,23,3.9308056412985235e-05,0.001734111000605545
0.01,24,3.50145367657077e-05,0.0015449630792510193
0.01,25,3.073534591458375e-05,0.0013563634679708174
0.01,26,2.6579647916865888e-05,0.0011731370926190182
0.01,27,2.2656690447075647e-05,0.0010001167744496053
0.01,28,1.9064594522252195e-05,0.0008416466449424081
0.01,29,1.5873209771439167e-05,0.00070082347219606
0.01,30,1.3113735658309397e-05,0.000579036827162538
0.01,31,1.0780335639110472e-05,0.00047603924190240066
0.01,32,8.840192716617041e-06,0.0003903897264044738
0.01,33,7.245782651232639e-06,0.000319995737235178
0.01,34,5.945032497516316e-06,0.00026256207126647746
0.01,35,4.887900336608722e-06,0.0002158818264804946
0.01,36,4.0297603540925594e-06,0.00017798626839419875
0.01,37,3.3326028557287003e-06,0.00014719813294701326
0.01,38,2.7649855307591575e-06,0.00012212970490379927
0.01,39,2.301384055915181e-06,0.00010165430267567668
0.01,40,1.921324967344205e-06,8.48680958035649e-05
0.01,41,1.6085031041718759e-06,7.105120376937367e-05
0.01,42,1.3499786437016005e-06,5.9632283980480605e-05
0.01,43,1.1354896228184011e-06,5.015820258571961e-05
0.01,44,9.568851075620792e-07,4.2269022006420305e-05
0.01,45,8.076694614753683e-07,3.5677887464554445e-05
0.01,46,6.826422527444816e-07,3.0155132409098878e-05
0.01,47,5.776170920168755e-07,2.5515866695327345e-05
0.01,48,4.892037582490531e-07,2.1610357808773616e-05
0.01,49,4.146400338578142e-07,1.831660617047362e-05
0.01,50,3.5166201225849006e-07,1.5534618720784585e-05
0.01,51,2.9840388353182216e-07,1.318198385526666e-05
0.01,52,2.5332017130721915e-07,1.1190437564692847e-05
0.01,53,2.1512502688424337e-07,9.503182680095516e-06
0.01,54,1.8274449100940772e-07,8.072780687895726e-06
0.01,55,1.5527864729650842e-07,6.859480316046536e-06
0.01,56,1.3197136328816996e-07,5.829881169568221e-06
0.01,57,1.1218589484748551e-07,4.955856284002524e-06
0.01,58,9.538506068779905e-08,4.213676497890523e-06
