time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.0005151186054441404,0.01962008983716338
0.01,2,0.0008627483267058894,0.032915041061821415
0.01,3,0.0009841372910359884,0.037631569747657814
0.01,4,0.0004220304469181962,0.01616428578865722
0.01,5,0.0004095200316583784,0.015694627647349413
0.01,6,0.0004289101199125308,0.01644733336899337
0.01,7,0.0004966857518841706,0.019059477030429265
0.01,8,0.000575649465618343,0.022109841070229924
0.01,9,0.0005805854368962876,0.022323675546767317
0.01,10,0.0003685524049591372,0.014184383425443921
0.01,11,0.00013823622053176437,0.005323076580440547
0.01,12,0.0001094913127776183,0.004217249421980702
0.01,13,9.518809197192782e-05,0.003667504455629022
0.01,14,8.963129012233984e-05,0.0034546094914720223
0.01,15,8.569104435793192e-05,0.003303888874802119
0.01,16,8.087865409409015e-05,0.0031194031941231258
0.01,17,7.44365774379086e-05,0.0028718755340638954
0.01,18,6.633847742759406e-05,0.0025602162079462016
0.01,19,5.6882127017539616e-05,0.002195866086750373
0.01,20,4.666973891536118e-05,0.0018020582033297565
0.01,21,3.657201192704235e-05,0.0014124369889390392
0.01,22,2.7482709469295238e-05,0.001061573720287286
0.01,23,2.0003623182610955e-05,0.0007727779300457563
0.01,24,1.4299081921267843e-05,0.0005524549991221969
0.01,25,1.0181858770230662e-05,0.0003934125969347446
0.01,26,7.303188486762529e-06,0.000282200748993928
0.01,27,5.309594425677536e-06,0.00020517545366385487
0.01,28,3.9183401267438765e-06,0.00015141888406685345
0.01,29,2.9301824922391415e-06,0.00011323561399452475
0.01,30,2.2137192845164632e-06,8.554976926281725e-05
0.01,31,1.684408918196684e-06,6.509533252708166e-05
0.01,32,1.2875797180422075e-06,4.976007647053827e-05
0.01,33,9.869885006033854e-07,3.814367381116072e-05
0.01,34,7.577736755498458e-07,2.928549964140101e-05
0.01,35,5.822851919166217e-07,2.250354526340407e-05
0.01,36,4.4762876826026847e-07,1.7299549181079378e-05
0.01,37,3.4418535923373516e-07,1.3301800255002874e-05
0.01,38,2.6467922377412903e-07,1.0229133239975896e-05
0.01,39,2.0356044036877354e-07,7.867071610844688e-06
0.01,40,1.5657543680351237e-07,6.051233701345848e-06
0.01,41,1.2045640361273848e-07,4.655331698821894e-06
0.01,42,9.269037581826169e-08,3.5822486330876725e-06
