time_instant,iteration,absolute_error_norm,relative_error_norm
1.0,1,0.5036996986570869,0.14518516095365752
1.0,2,0.4415464592794412,0.12701360833315403
1.0,3,0.269650358943241,0.07736536160934943
1.0,4,0.17630598851034784,0.05057891989829944
1.0,5,0.1207552589943835,0.034729029972965536
1.0,6,0.08138773644120975,0.023447856786752104
1.0,7,0.05466708993172663,0.015760358102216664
1.0,8,0.037643393778805344,0.010850444088863258
1.0,9,0.02712259794097261,0.007812352344622753
1.0,10,0.020504440996906226,0.005900411284958994
1.0,11,0.016132943515595122,0.0046375879923648685
1.0,12,0.013082180208932002,0.003756638762390607
1.0,13,0.010849833059866984,0.003112428940855243
1.0,14,0.009152883950662442,0.0026231212219385287
1.0,15,0.00782257364858032,0.002239886155995078
1.0,16,0.006753224455236202,0.0019321314254932842
1.0,17,0.005876006581496857,0.0016799243238416117
1.0,18,0.0051445245248196115,0.0014698255690672995
1.0,19,0.004526489747710484,0.0012924810762440122
1.0,20,0.003998747658749583,0.0011411831490079497
1.0,21,0.00354422774497281,0.0010109876782739148
1.0,22,0.0031500252594961636,0.0008981585824609548
1.0,23,0.002806164058061147,0.0007998093010199454
1.0,24,0.002504778832411796,0.0007136656723168177
1.0,25,0.002239561436909002,0.0006379052899687216
1.0,26,0.0020053772228420396,0.0005710461237473301
1.0,27,0.001797993203981139,0.0005118675700138866
1.0,28,0.0016138813551198957,0.00045935330586255156
1.0,29,0.00145007343611903,0.00041264910685516996
1.0,30,0.0013040518600182657,0.0003710311392667147
1.0,31,0.0011736662595117173,0.0003338817244963354
1.0,32,0.0010570687098175383,0.00030067053035837165
1.0,33,0.0009526627284754709,0.00027093977091731234
1.0,34,0.0008590626123718819,0.00024429241430176625
1.0,35,0.0007750606469072387,0.00022038268098340292
1.0,36,0.0006996003927024169,0.00019890830990244385
1.0,37,0.0006317547237565271,0.00017960420612526227
1.0,38,0.0005707076233364501,0.00016223718048968383
1.0,39,0.0005157389830943473,0.00014660156138978413
1.0,40,0.0004662118254835364,0.00013251550974311728
1.0,41,0.0004215614986398605,0.00011981790583289147
1.0,42,0.00038128648953379094,0.00010836570490881186
1.0,43,0.0003449405744305539,9.803167979586313e-05
1.0,44,0.0003121260817734993,8.870248512064341e-05
1.0,45,0.0002824880860139554,8.027699042645342e-05
1.0,46,0.0002557093848280268,7.26648393384195e-05
1.0,47,0.00023150613890206338,6.578519973405511e-05
1.0,48,0.00020962407472921736,5.956567606794112e-05
1.0,49,0.00018983516789683341,5.394135995894378e-05
1.0,50,0.0001719347380838094,4.8853999145199513e-05
1.0,51,0.00015573889815582423,4.425126815846357e-05
1.0,52,0.00014108230887162828,4.008612671960105e-05
1.0,53,0.00012781619821310413,3.6316254033103746e-05
1.0,54,0.00011580661054717617,3.2903548954584074e-05
1.0,55,0.00010493285598038536,2.9813687497579513e-05
1.0,56,9.508613455367204e-05,2.701573038647725e-05
1.0,57,8.616831352873717e-05,2.448177440420458e-05
1.0,58,7.809083903731889e-05,2.218664215563682e-05
1.0,59,7.077376592860874e-05,2.010760560751635e-05
1.0,60,6.414489180607915e-05,1.8224139387355794e-05
1.0,61,5.813898309888337e-05,1.6517700357812612e-05
1.0,62,5.269708257568463e-05,1.4971530432856432e-05
1.0,63,4.776588905763393e-05,1.3570479989977595e-05
1.0,64,4.329720124685022e-05,1.2300849565928184e-05
