time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00020977675608528602,0.004565761901498512
0.01,2,0.0001841973637351842,0.004010905772096122
0.01,3,0.0001658142749144738,0.003612186361586033
0.01,4,0.00015351132176789082,0.003345540371409741
0.01,5,0.00014640071708485076,0.0031918142447465237
0.01,6,0.0001436724041305564,0.003133498196776007
0.01,7,0.0001446783718725646,0.003156577972627685
0.01,8,0.00014899339383833658,0.0032518738562546086
0.01,9,0.0001564543844184437,0.0034159137221747155
0.01,10,0.00016720264238801377,0.003651870032815613
0.01,11,0.00018176866921560585,0.0039714294966052156
0.01,12,0.00020126347675483887,0.0043989969688427374
0.01,13,0.00022776840441377625,0.004980256132455543
0.01,14,0.00026516163975072156,0.005800319709503984
0.01,15,0.00032079491205633964,0.0070205733721489605
0.01,16,0.000408534651220876,0.008945610201589465
0.01,17,0.000550486262864595,0.01206180733111251
0.01,18,0.0007484875861449262,0.016413583544180942
0.01,19,0.0008475407406920018,0.018603361763417144
0.01,20,0.0007015315571137501,0.01541129327337873
0.01,21,0.0006275842088184879,0.01379392443641837
0.01,22,0.0006288202059051223,0.013828755062338941
0.01,23,0.0005087643786893963,0.011196341441644306
0.01,24,0.00022701989322596375,0.004998736964939941
0.01,25,0.00012020413233806741,0.002647344265924006
0.01,26,0.00010133694130788885,0.002231958325085217
0.01,27,6.924850382363027e-05,0.0015252892866221004
0.01,28,4.730459524438398e-05,0.0010420130217796218
0.01,29,3.373653450112656e-05,0.0007431895805709135
0.01,30,2.3282313339269683e-05,0.0005129233281624303
0.01,31,1.643650237772735e-05,0.0003621252982105701
0.01,32,1.3009505774883118e-05,0.00028663496132635394
0.01,33,1.1399254680177596e-05,0.000251165600570731
0.01,34,1.0791063324417039e-05,0.0002377719043901442
0.01,35,1.1008735218305582e-05,0.00024257400094460123
0.01,36,1.1993523176117441e-05,0.0002642789540310189
0.01,37,1.3727274868101539e-05,0.0003024878473795621
0.01,38,1.628354605450058e-05,0.00035882237863119266
0.01,39,1.9860955741211765e-05,0.00043766015893984136
0.01,40,2.479567560068306e-05,0.000546410223567124
0.01,41,3.153218959995333e-05,0.000694868983181241
0.01,42,4.042093745688004e-05,0.0008907612003609526
0.01,43,5.10202176801977e-05,0.0011243557421246801
0.01,44,6.077704575011648e-05,0.001339393045824492
0.01,45,6.505878910047538e-05,0.0014337772270867145
0.01,46,6.0143719751655686e-05,0.0013254786646133795
0.01,47,4.369928474197258e-05,0.0009630795679288004
0.01,48,2.2513897795924555e-05,0.0004961831889160171
0.01,49,1.0303621281275139e-05,0.00022708221016356378
0.01,50,7.009103191180285e-06,0.00015447445612630333
0.01,51,5.250866273094234e-06,0.00011572465211779869
0.01,52,3.7067979287832924e-06,8.16948058186604e-05
0.01,53,2.614631671385826e-06,5.762442386935362e-05
0.01,54,1.9409172378508595e-06,4.277633570539308e-05
0.01,55,1.518942938153887e-06,3.3476376076005043e-05
0.01,56,1.2213579676272963e-06,2.6917845698696592e-05
0.01,57,9.904294290380134e-07,2.1828362398085853e-05
0.01,58,8.047111389307381e-07,1.7735272666754713e-05
0.01,59,6.541147587481716e-07,1.4416239863625226e-05
0.01,60,5.316660745445127e-07,1.1717559296243289e-05
0.01,61,4.3194194193309863e-07,9.519709993368767e-06
0.01,62,3.5071464704353693e-07,7.729516941909514e-06
0.01,63,2.8462881237072335e-07,6.273030496319902e-06
0.01,64,2.3094227273381012e-07,5.08981557814933e-06
0.01,65,1.8737850259382835e-07,4.129699349270435e-06
0.01,66,1.5204915042087927e-07,3.351063971112205e-06
0.01,67,1.234008856326991e-07,2.71967518000664e-06
0.01,68,1.0016660067493474e-07,2.2076068358453564e-06
0.01,69,8.131829548323003e-08,1.7922025417798778e-06
