time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00022863354575415002,0.007464263292139
0.01,2,0.00022579722988682813,0.0073764920654800685
0.01,3,0.00025133738398695353,0.008216722708341069
0.01,4,0.000322595984559356,0.010555093002926579
0.01,5,0.00048574942783707295,0.015910057693566224
0.01,6,0.0008092213664206565,0.02654339963891691
0.01,7,0.0009696673599234551,0.031870008653051195
0.01,8,0.0010501275911608586,0.03458010794707701
0.01,9,0.0006346420531160918,0.02092362398288758
0.01,10,0.0003489049360077757,0.011503457382108229
0.01,11,0.00021008038194611747,0.00692475712966433
0.01,12,0.00014813901949002072,0.004883439084600134
0.01,13,0.0001208163659940541,0.0039835876251972805
0.01,14,0.00010977870085228593,0.0036206272405091074
0.01,15,0.0001068025061913295,0.0035235700747905936
0.01,16,0.00010715896762430886,0.0035365434659630534
0.01,17,0.00010830286677729936,0.0035755908564336016
0.01,18,0.00010858844898276001,0.0035863574159986475
0.01,19,0.00010667428649255157,0.003524463714089513
0.01,20,0.00010150102938809356,0.0033547819516913224
0.01,21,9.244424253988773e-05,0.0030565139278266296
0.01,22,7.950327059901458e-05,0.002629484440798072
0.01,23,6.366919612794318e-05,0.0021063733470569742
0.01,24,4.7125348549976926e-05,0.0015594049466846325
0.01,25,3.2472949850801654e-05,0.0010747363639851547
0.01,26,2.138318637514434e-05,0.0007077963754692542
0.01,27,1.4025280602208246e-05,0.00046428751112790153
0.01,28,9.542874532499265e-06,0.0003159237374791133
0.01,29,6.839768935683812e-06,0.0002264455376875221
0.01,30,5.095106338700208e-06,0.00016868996760807076
0.01,31,3.863068958920324e-06,0.00012790229597072498
0.01,32,2.9415960682704543e-06,9.739489927913023e-05
0.01,33,2.2381737500552273e-06,7.410584662013086e-05
0.01,34,1.700721229033984e-06,5.6311360569609235e-05
0.01,35,1.2921472883413355e-06,4.2783683745690905e-05
0.01,36,9.829723740436687e-07,3.254692938735545e-05
0.01,37,7.494940311438561e-07,2.4816406558500693e-05
0.01,38,5.730785410481802e-07,1.897520363238014e-05
0.01,39,4.394481104312649e-07,1.4550608221807213e-05
0.01,40,3.378691478540162e-07,1.118724285502092e-05
0.01,41,2.6035860347854677e-07,8.620793409147886e-06
0.01,42,2.009996714834533e-07,6.6553555480414825e-06
0.01,43,1.5539897077455623e-07,5.145463852228852e-06
0.01,44,1.202778312352981e-07,3.982560285152022e-06
0.01,45,9.317358964721109e-08,3.0851045979022925e-06
