time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.0003428269103947748,0.009326972834406018
0.01,2,0.00042833036402495616,0.011664177361713574
0.01,3,0.0006169285643841619,0.016818982048317516
0.01,4,0.001044824178407219,0.028526235800294477
0.01,5,0.0012512681270777344,0.034228561260137305
0.01,6,0.00044616240690106536,0.012220972090650041
0.01,7,0.00038952036168454085,0.010671769338334023
0.01,8,0.0003279992251240465,0.008987032637186554
0.01,9,0.0002818215420617659,0.007721968984177847
0.01,10,0.00024033434297267625,0.006585227160904984
0.01,11,0.00020231678555016538,0.0055435595961525344
0.01,12,0.0001688674908025645,0.0046271283486712155
0.01,13,0.0001408569109636633,0.0038597826379337397
0.01,14,0.00011887872236369525,0.0032577694015851625
0.01,15,0.00010308744595400218,0.0028253110482162687
0.01,16,9.313450220546845e-05,0.002552863811721168
0.01,17,8.825984575763329e-05,0.0024196257417203977
0.01,18,8.754603398587811e-05,0.0024004908816633035
0.01,19,9.021608347743288e-05,0.002474207458131193
0.01,20,9.581388352731855e-05,0.00262832482094752
0.01,21,0.00010422189648703682,0.002859685816662281
0.01,22,0.00011555942078525507,0.0031716461369781087
0.01,23,0.00012996633892380086,0.0035681490741920428
0.01,24,0.00014717703728791472,0.004042028511466094
0.01,25,0.00016575459474402947,0.004553949461815332
0.01,26,0.0001822596622468645,0.00500948641700175
0.01,27,0.00019209396735067412,0.005282156916112682
0.01,28,0.0001942458270415607,0.005343846216366486
0.01,29,0.0001934862560595444,0.005325482478467183
0.01,30,0.00018835426110109943,0.005186615454603269
0.01,31,0.00016596610153967538,0.0045720488890978106
0.01,32,0.00012282724874244393,0.003384852667108281
0.01,33,7.698396154679373e-05,0.002122071956433751
0.01,34,4.714047115503552e-05,0.001299663441984569
0.01,35,3.300477168503343e-05,0.0009100458591444452
0.01,36,2.5920827971160193e-05,0.0007147736691366415
0.01,37,2.127649030804446e-05,0.0005867377618056875
0.01,38,1.7643274904303613e-05,0.0004865674026830377
0.01,39,1.4604151728776098e-05,0.0004027700784786171
0.01,40,1.2019318377410274e-05,0.0003314941233847612
0.01,41,9.833717596299228e-06,0.00027122345214006764
0.01,42,8.022751645492616e-06,0.00022128138899829675
0.01,43,6.56066214612163e-06,0.00018095886743397236
0.01,44,5.404660241898141e-06,0.00014907677054546228
0.01,45,4.4978889065097e-06,0.00012406764164683666
0.01,46,3.781817798632607e-06,0.00010431760047368465
0.01,47,3.2066733409979713e-06,8.845410076906603e-05
0.01,48,2.7353273447095133e-06,7.545326019594863e-05
0.01,49,2.3421513997649917e-06,6.460831419413737e-05
0.01,50,2.0099483381395815e-06,5.54450093625559e-05
0.01,51,1.7270006634088805e-06,4.764020843848188e-05
0.01,52,1.4849400442541446e-06,4.096313438393565e-05
0.01,53,1.2774195435791294e-06,3.523875220720167e-05
0.01,54,1.09935481515396e-06,3.0326842632042725e-05
0.01,55,9.465116494653809e-07,2.6110628083187496e-05
0.01,56,8.152853424138912e-07,2.249068908197707e-05
0.01,57,7.02578681454109e-07,1.9381600338277567e-05
0.01,58,6.057269285615965e-07,1.6709862778512054e-05
0.01,59,5.224432831357479e-07,1.4412400160827285e-05
0.01,60,4.507725529510238e-07,1.2435281840658246e-05
0.01,61,3.890484038068888e-07,1.0732544049724816e-05
0.01,62,3.358532802514275e-07,9.265084702287022e-06
0.01,63,2.89981538282868e-07,7.999646689870415e-06
0.01,64,2.5040655759917515e-07,6.907910869348797e-06
0.01,65,2.1625228610266013e-07,5.965711256058297e-06
0.01,66,1.8676922596764805e-07,5.152372696052873e-06
0.01,67,1.613145100118138e-07,4.450161340326201e-06
0.01,68,1.3933551086958498e-07,3.843832550892711e-06
0.01,69,1.2035636373157006e-07,3.3202591630265646e-06
0.01,70,1.0396682192632793e-07,2.868124088511632e-06
0.01,71,8.981295496652016e-08,2.477663735731495e-06
