time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00043782458028141636,0.0071468968647444946
0.01,2,0.0004454553359092359,0.00727826543043003
0.01,3,0.00047737815540588877,0.0078071480658124534
0.01,4,0.0005443592820265666,0.008911176247719548
0.01,5,0.0006722798840162981,0.011016722118683592
0.01,6,0.0009194009950104089,0.015084257693987009
0.01,7,0.0013967403675082682,0.022948827591660864
0.01,8,0.0019533031190580993,0.032149884739454695
0.01,9,0.0013706217232408121,0.022593609956092605
0.01,10,0.0008438879717711663,0.013910285608668907
0.01,11,0.00046750583914449196,0.0077014421299836525
0.01,12,0.0002723659590979835,0.004485546540854516
0.01,13,0.00016703876875325216,0.0027506508379823514
0.01,14,0.00010118638966691354,0.0016661829776977084
0.01,15,6.204673832269791e-05,0.0010216868994128872
0.01,16,4.183271943127961e-05,0.0006888480638521702
0.01,17,3.356150461158713e-05,0.0005526652361476229
0.01,18,3.215950015441314e-05,0.0005295963130164241
0.01,19,3.480018311987541e-05,0.0005731022154038899
0.01,20,4.057075753786354e-05,0.0006681560739101725
0.01,21,4.979353123935224e-05,0.0008200705942624025
0.01,22,6.353169181885861e-05,0.0010463613596461841
0.01,23,8.276536238825452e-05,0.0013631781223975617
0.01,24,0.00010494239046735383,0.0017284929487258987
0.01,25,0.00011495605810339092,0.0018934803251791114
0.01,26,8.856642480594287e-05,0.0014588422953669608
0.01,27,4.1056969793183565e-05,0.0006762893103813752
0.01,28,1.3424249151580932e-05,0.0002211255312124515
0.01,29,6.1030597938706595e-06,0.0001005307504099211
0.01,30,4.448179799146159e-06,7.327162703134445e-05
0.01,31,3.5187863586281325e-06,5.796265396624525e-05
0.01,32,2.798358907886207e-06,4.609568732597091e-05
0.01,33,2.226382952347642e-06,3.6673975349230945e-05
0.01,34,1.772028358582474e-06,2.918971169832827e-05
0.01,35,1.4110790949522483e-06,2.3244024655908943e-05
0.01,36,1.1242392340407726e-06,1.8519079068714145e-05
0.01,37,8.961867233089391e-07,1.4762493108999739e-05
0.01,38,7.147785055934012e-07,1.1774246870188997e-05
0.01,39,5.703935260754976e-07,9.395861537421423e-06
0.01,40,4.5540871334758734e-07,7.501768450841468e-06
0.01,41,3.6378332929579153e-07,5.992462925419552e-06
0.01,42,2.907290753939769e-07,4.789070467660616e-06
0.01,43,2.3244862302847735e-07,3.829039962479116e-06
0.01,44,1.8592875248364827e-07,3.062736308814493e-06
0.01,45,1.4877686714988614e-07,2.450747494868615e-06
0.01,46,1.190918385548461e-07,1.9617571507433157e-06
0.01,47,9.536197253029678e-08,1.5708638307327038e-06
