time_instant,iteration,absolute_error_norm,relative_error_norm
0.01,1,0.00036570561229944197,0.01392917454628412
0.01,2,0.0005645443674396433,0.021528007107198707
0.01,3,0.0009677877538216963,0.03696475173372102
0.01,4,0.0005439409034048879,0.0208158259630819
0.01,5,0.0002701032821746694,0.010344158990972957
0.01,6,0.0002656661036673525,0.010178564821379127
0.01,7,0.00027607966116478827,0.010582040714782049
0.01,8,0.0003058610395078275,0.01172903541779645
0.01,9,0.00037116790671010635,0.014241447041999405
0.01,10,0.000459519001536501,0.01764424231925364
0.01,11,0.0004737550131149956,0.01820689295854287
0.01,12,0.0004927243592934487,0.018952169851209035
0.01,13,0.0003147904518839214,0.012116850266450247
0.01,14,0.00011818352594869141,0.004550853566908308
0.01,15,9.246653866769189e-05,0.0035611145026548715
0.01,16,7.885981702697899e-05,0.003037558665949807
0.01,17,7.158181342266586e-05,0.0027577320825933585
0.01,18,6.728075390143997e-05,0.002592562562967642
0.01,19,6.437386682279621e-05,0.002481090525201522
0.01,20,6.200427023250846e-05,0.002390301219951561
0.01,21,5.9669926435977196e-05,0.0023008376478488336
0.01,22,5.705601957710047e-05,0.0022005485627210187
0.01,23,5.397369199670363e-05,0.002082133136063522
0.01,24,5.034053168644287e-05,0.001942394090377349
0.01,25,4.616639461250948e-05,0.0017816958648773594
0.01,26,4.153919009010925e-05,0.001603420308227107
0.01,27,3.661388429607819e-05,0.0014135451112007352
0.01,28,3.1598803975803796e-05,0.0012201163497940655
0.01,29,2.6726973463308356e-05,0.0010321413549101372
0.01,30,2.2212313335404162e-05,0.0008578952201781523
0.01,31,1.8208508967536058e-05,0.0007033292239753982
0.01,32,1.478964036014935e-05,0.0005713196542285604
0.01,33,1.1956518225098087e-05,0.0004619104477383132
0.01,34,9.658831896099368e-06,0.00037316782211920354
0.01,35,7.820328681822317e-06,0.00030215297540861843
0.01,36,6.358768926744543e-06,0.0002456934784108708
0.01,37,5.198055891105394e-06,0.00020085250484439668
0.01,38,4.273610437083773e-06,0.0001651370246344539
0.01,39,3.5333759327799482e-06,0.0001365370431935861
0.01,40,2.936629748818927e-06,0.00011347997030230263
0.01,41,2.4520267640416766e-06,9.475521748956394e-05
0.01,42,2.0556114151329934e-06,7.94375106696885e-05
0.01,43,1.7290951009824848e-06,6.682040967075961e-05
0.01,44,1.4584712522066932e-06,5.636284522680092e-05
0.01,45,1.2329457529341728e-06,4.764782228892308e-05
0.01,46,1.0441298857913591e-06,4.035125542133238e-05
0.01,47,8.854397712275035e-07,3.421877577887146e-05
0.01,48,7.516530143510836e-07,2.9048607991090156e-05
0.01,49,6.385825653111904e-07,2.4678973298533647e-05
0.01,50,5.428367521255352e-07,2.0978820572322505e-05
0.01,51,4.6164207384503744e-07,1.7840981230410016e-05
0.01,52,3.927114505383013e-07,1.51770798535231e-05
0.01,53,3.3414533136152066e-07,1.2913713945246043e-05
0.01,54,2.843565874305572e-07,1.098955241072083e-05
0.01,55,2.420127036928341e-07,9.353102250502265e-06
0.01,56,2.0599065291170962e-07,7.96096514426499e-06
0.01,57,1.7534116826148625e-07,6.776457097544866e-06
0.01,58,1.4926007385318484e-07,5.768500739994898e-06
0.01,59,1.2706499518299532e-07,4.910725459087553e-06
0.01,60,1.0817623586221983e-07,4.180728489454221e-06
0.01,61,9.210093237109402e-08,3.5594626461589023e-06
